x: -94, y: -221
x: -92.21114561800016, y: -220.10557280900008
x: -90.31596236133771, y: -219.4666045596586
x: -88.42077910467538, y: -218.82763631031713
x: -86.52559584801293, y: -218.18866806097566
x: -84.63041259135059, y: -217.54969981163418
x: -82.90723116230515, y: -216.53449256058005
x: -81.70466549645164, y: -214.93642002802397
x: -83.46218434335537, y: -213.98189003751648
x: -85.21970319025911, y: -213.02736004700895
x: -86.97722203716273, y: -212.07283005650146
x: -88.73474088406647, y: -211.11830006599396
x: -90.4922597309702, y: -210.16377007548647
x: -92.24977857787394, y: -209.20924008497894
x: -94.00729742477756, y: -208.25471009447145
x: -95.7648162716813, y: -207.30018010396395
x: -97.52233511858503, y: -206.34565011345643
x: -99.47306235373446, y: -205.90444352460472
x: -101.42378958888389, y: -205.463236935753
x: -103.37451682403344, y: -205.0220303469013
x: -105.32524405918286, y: -204.58082375804958
x: -107.2759712943323, y: -204.13961716919786
x: -109.22669852948172, y: -203.69841058034615
x: -111.17742576463127, y: -203.25720399149444
x: -113.1281529997807, y: -202.81599740264272
x: -115.07888023493012, y: -202.374790813791
x: -117.02960747007955, y: -201.9335842249393
x: -118.98033470522898, y: -201.4923776360876
x: -120.93106194037853, y: -201.0511710472359
x: -122.88178917552796, y: -200.60996445838418
x: -124.83251641067739, y: -200.16875786953247
x: -126.78324364582681, y: -199.72755128068076
x: -128.73397088097636, y: -199.28634469182904
x: -130.72828865335964, y: -199.13569070828936
x: -132.7226064257428, y: -198.9850367247497
x: -134.7169241981261, y: -198.83438274121002
x: -136.71124197050926, y: -198.68372875767034
x: -138.70555974289255, y: -198.53307477413065
x: -140.69987751527572, y: -198.382420790591
x: -142.694195287659, y: -198.23176680705132
x: -144.68851306004228, y: -198.08111282351163
x: -146.68283083242545, y: -197.93045883997198
x: -148.67714860480874, y: -197.7798048564323
x: -150.6714663771919, y: -197.6291508728926
x: -152.6657841495752, y: -197.47849688935293
x: -154.66010192195836, y: -197.32784290581327
x: -156.65441969434164, y: -197.1771889222736
x: -158.64586422025184, y: -196.99239525294948
x: -160.63730874616203, y: -196.80760158362537
x: -162.62875327207223, y: -196.62280791430126
x: -164.62019779798243, y: -196.43801424497715
x: -166.61164232389262, y: -196.25322057565305
x: -168.60308684980293, y: -196.06842690632894
x: -170.59453137571313, y: -195.88363323700483
x: -172.58597590162333, y: -195.69883956768072
x: -174.57742042753353, y: -195.5140458983566
x: -176.56886495344372, y: -195.3292522290325
x: -178.56030947935392, y: -195.1444585597084
x: -180.55175400526412, y: -194.9596648903843
x: -182.5431985311743, y: -194.77487122106018
x: -184.5346430570845, y: -194.59007755173607
x: -186.5260875829947, y: -194.40528388241196
x: -188.51753210890502, y: -194.22049021308786
x: -190.5089766348152, y: -194.03569654376375
x: -192.5004211607254, y: -193.85090287443964
x: -194.4918656866356, y: -193.66610920511553
x: -196.4833102125458, y: -193.48131553579142
x: -198.474754738456, y: -193.29652186646732
x: -200.4661992643662, y: -193.1117281971432
x: -202.4576437902764, y: -192.9269345278191
x: -204.4490883161866, y: -192.742140858495
x: -206.4405328420968, y: -192.55734718917088
x: -208.43197736800698, y: -192.37255351984678
x: -210.4234218939173, y: -192.18775985052267
x: -212.4148664198275, y: -192.00296618119856
x: -214.4063109457377, y: -191.81817251187445
x: -216.39775547164788, y: -191.63337884255031
x: -218.38919999755808, y: -191.4485851732262
x: -220.38064452346828, y: -191.2637915039021
x: -222.37208904937847, y: -191.078997834578
x: -224.36353357528867, y: -190.89420416525388
x: -226.35497810119887, y: -190.70941049592977
x: -228.34642262710918, y: -190.52461682660567
x: -230.33786715301937, y: -190.33982315728156
x: -232.32931167892957, y: -190.15502948795745
x: -234.31843106465044, y: -189.946693054875
x: -236.3075504503713, y: -189.73835662179252
x: -238.29666983609206, y: -189.53002018871007
x: -240.28578922181293, y: -189.3216837556276
x: -242.2749086075338, y: -189.11334732254514
x: -244.26402799325467, y: -188.9050108894627
x: -246.25314737897554, y: -188.6966744563802
x: -248.2422667646963, y: -188.48833802329776
x: -250.23138615041717, y: -188.28000159021528
x: -252.22050553613803, y: -188.07166515713283
x: -254.2096249218589, y: -187.86332872405035
x: -256.1987443075797, y: -187.6549922909679
x: -258.1878636933006, y: -187.44665585788545
x: -260.1769830790214, y: -187.23831942480297
x: -262.16610246474227, y: -187.02998299172052
x: -264.15522185046314, y: -186.82164655863804
x: -266.14434123618395, y: -186.61331012555559
x: -268.1334606219048, y: -186.40497369247313
x: -270.12258000762563, y: -186.19663725939066
x: -272.11649258531787, y: -186.0407121731448
x: -274.11040516301006, y: -185.88478708689897
x: -276.1043177407023, y: -185.72886200065312
x: -278.0982303183945, y: -185.57293691440728
x: -280.0921428960867, y: -185.41701182816144
x: -282.0860554737789, y: -185.2610867419156
x: -284.07996805147116, y: -185.10516165566975
x: -286.0738806291634, y: -184.9492365694239
x: -288.0677932068556, y: -184.79331148317806
x: -290.0617057845478, y: -184.63738639693221
x: -292.05561836224, y: -184.48146131068637
x: -294.04953093993225, y: -184.32553622444053
x: -296.0434435176245, y: -184.16961113819468
x: -298.0373560953167, y: -184.0136860519488
x: -300.0312686730089, y: -183.85776096570297
x: -302.0251812507011, y: -183.70183587945712
x: -304.01909382839335, y: -183.54591079321128
x: -306.01300640608554, y: -183.38998570696543
x: -308.0069189837778, y: -183.2340606207196
x: -310.00083156147, y: -183.07813553447374
x: -311.99508385577934, y: -182.92661726282995
x: -313.9893361500887, y: -182.77509899118616
x: -315.98358844439804, y: -182.62358071954233
x: -317.9778407387074, y: -182.47206244789854
x: -319.97209303301673, y: -182.32054417625474
x: -321.96634532732605, y: -182.16902590461095
x: -323.96059762163543, y: -182.01750763296712
x: -325.95484991594475, y: -181.86598936132333
x: -327.9491022102541, y: -181.71447108967953
x: -329.94335450456344, y: -181.56295281803574
x: -331.93760679887276, y: -181.41143454639192
x: -333.93185909318214, y: -181.25991627474812
x: -335.92611138749146, y: -181.10839800310433
x: -337.92036368180084, y: -180.95687973146053
x: -339.91461597611016, y: -180.80536145981674
x: -341.9088682704195, y: -180.6538431881729
x: -343.90312056472885, y: -180.50232491652912
x: -345.89737285903817, y: -180.35080664488532
x: -347.89162515334755, y: -180.19928837324153
x: -349.88587744765687, y: -180.0477701015977
x: -351.8801297419662, y: -179.8962518299539
x: -353.87438203627556, y: -179.74473355831012
x: -355.8686343305849, y: -179.59321528666632
x: -357.86288662489426, y: -179.4416970150225
x: -359.8571389192036, y: -179.2901787433787
x: -361.8513912135129, y: -179.1386604717349
x: -363.8456435078223, y: -178.9871422000911
x: -365.8398958021316, y: -178.83562392844732
x: -367.83414809644097, y: -178.6841056568035
x: -369.8284003907503, y: -178.5325873851597
x: -371.8226526850596, y: -178.3810691135159
x: -373.816904979369, y: -178.2295508418721
x: -375.8111572736783, y: -178.0780325702283
x: -377.8054095679877, y: -177.9265142985845
x: -379.799661862297, y: -177.7749960269407
x: -381.7939141566063, y: -177.6234777552969
x: -383.7881664509157, y: -177.4719594836531
x: -385.782418745225, y: -177.32044121200929
x: -387.77667103953434, y: -177.1689229403655
x: -389.7755706348607, y: -177.10258737068986
x: -391.77447023018703, y: -177.03625180101426
x: -393.7733698255134, y: -176.96991623133863
x: -395.7722694208397, y: -176.903580661663
x: -397.771169016166, y: -176.8372450919874
x: -399.7700686114924, y: -176.77090952231177
x: -401.7689682068187, y: -176.70457395263614
x: -403.7678678021451, y: -176.63823838296054
x: -405.7667673974714, y: -176.5719028132849
x: -407.7656669927977, y: -176.50556724360928
x: -409.76456658812407, y: -176.43923167393368
x: -411.7634661834504, y: -176.37289610425805
x: -413.76236577877677, y: -176.30656053458242
x: -415.7612653741031, y: -176.24022496490682
x: -417.76016496942947, y: -176.17388939523119
x: -419.7590645647558, y: -176.10755382555556
x: -421.7579641600821, y: -176.04121825587995
x: -423.7557947926649, y: -175.9480905826897
x: -425.7536254252477, y: -175.85496290949942
x: -427.75145605783047, y: -175.7618352363092
x: -429.74928669041327, y: -175.66870756311891
x: -431.7471173229961, y: -175.5755798899287
